job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python
52,Data Scientist,Medium,Technology,India,Remote,Senior,9,Bachelor,1
53,Data Engineer,Enterprise,Technology,Canada,Onsite,Mid,7,PhD,1
54,AI Engineer,Enterprise,Technology,India,Onsite,Mid,13,Master,0
55,Data Analyst,Enterprise,Retail,India,Hybrid,Mid,2,Bachelor,1
56,Machine Learning Engineer,MNC,Education,UK,Onsite,Entry,8,PhD,1
57,Machine Learning Engineer,Medium,Retail,UK,Hybrid,Mid,9,Bachelor,0
58,Data Engineer,Startup,Retail,Singapore,Onsite,Entry,6,Bachelor,1
59,Machine Learning Engineer,Startup,Retail,Singapore,Onsite,Entry,7,Bachelor,1
60,Data Engineer,Startup,E-commerce,Canada,Remote,Senior,6,Bachelor,0
61,Business Analyst,MNC,Education,Canada,Onsite,Senior,10,Bachelor,0
62,Business Analyst,Enterprise,Retail,India,Remote,Mid,1,Master,1
63,Data Engineer,MNC,E-commerce,UK,Remote,Entry,13,Master,0
64,Business Analyst,Medium,Finance,Canada,Onsite,Mid,12,Bachelor,0
65,Data Engineer,Medium,Education,Germany,Remote,Entry,2,PhD,1
66,Data Analyst,Startup,Retail,India,Hybrid,Senior,10,Bachelor,0
67,Data Scientist,MNC,Retail,India,Hybrid,Entry,11,Master,1
68,Machine Learning Engineer,Startup,Retail,USA,Hybrid,Senior,14,PhD,1
69,Business Analyst,MNC,Retail,UK,Remote,Senior,13,Master,0
70,Business Analyst,Enterprise,E-commerce,India,Remote,Mid,2,PhD,1
71,Data Analyst,MNC,Finance,Singapore,Hybrid,Mid,9,Master,1
72,Data Analyst,Enterprise,Retail,USA,Hybrid,Mid,0,PhD,0
73,Data Analyst,Medium,E-commerce,USA,Hybrid,Senior,7,Bachelor,1
74,Data Scientist,MNC,Retail,UK,Hybrid,Entry,0,PhD,1
75,Data Analyst,Enterprise,Finance,Singapore,Onsite,Senior,4,Bachelor,1
76,Data Scientist,Enterprise,Retail,Canada,Onsite,Senior,3,Bachelor,1
77,AI Engineer,Enterprise,Finance,Singapore,Remote,Senior,10,Bachelor,1
78,Data Analyst,MNC,Healthcare,Australia,Hybrid,Mid,13,PhD,0
79,Data Scientist,MNC,E-commerce,USA,Remote,Mid,7,Master,1
80,Machine Learning Engineer,MNC,Finance,Canada,Remote,Senior,4,Master,0
81,Machine Learning Engineer,Medium,E-commerce,Canada,Remote,Senior,13,PhD,0
82,Business Analyst,Enterprise,Finance,Canada,Hybrid,Mid,14,Master,0
83,Data Analyst,Medium,E-commerce,Australia,Remote,Mid,14,Master,0
84,Business Analyst,MNC,Technology,Germany,Hybrid,Entry,0,Master,1
85,Data Analyst,Enterprise,Retail,Canada,Onsite,Senior,4,PhD,1
86,Data Engineer,Startup,Retail,Australia,Hybrid,Entry,3,PhD,0
87,Machine Learning Engineer,Medium,Finance,Australia,Hybrid,Mid,0,PhD,1
88,Data Engineer,Enterprise,Finance,USA,Onsite,Mid,4,Bachelor,0
89,Data Scientist,MNC,Finance,Germany,Hybrid,Senior,6,Bachelor,1
90,Machine Learning Engineer,Medium,Technology,India,Hybrid,Mid,5,Master,1
91,Data Scientist,Startup,Education,UK,Hybrid,Entry,14,Bachelor,0
92,AI Engineer,Startup,Retail,Germany,Onsite,Senior,13,Master,1
93,Business Analyst,Enterprise,Technology,USA,Hybrid,Entry,13,Bachelor,0
94,Data Scientist,MNC,Retail,Australia,Onsite,Entry,0,PhD,1
95,Business Analyst,Startup,Education,USA,Onsite,Entry,3,Bachelor,0
96,Data Analyst,Medium,Technology,USA,Onsite,Entry,4,Bachelor,1
97,AI Engineer,Enterprise,Finance,Singapore,Onsite,Entry,13,Master,0
98,Data Engineer,MNC,Finance,USA,Hybrid,Senior,10,Bachelor,1
99,Data Engineer,Startup,Healthcare,USA,Onsite,Entry,4,Master,1
100,Machine Learning Engineer,Startup,E-commerce,Germany,Hybrid,Senior,6,PhD,1
101,Data Engineer,Startup,Healthcare,Canada,Remote,Mid,2,Master,1
102,Machine Learning Engineer,MNC,Retail,Singapore,Remote,Entry,8,Master,1
103,Data Scientist,Medium,Retail,Canada,Hybrid,Mid,12,Master,0
104,Data Analyst,MNC,Technology,UK,Hybrid,Senior,11,Master,1
105,AI Engineer,Medium,Technology,Australia,Onsite,Entry,7,PhD,1
106,AI Engineer,Medium,E-commerce,Australia,Remote,Entry,11,Master,0
107,Data Analyst,Medium,Education,Australia,Remote,Entry,6,Master,0
108,AI Engineer,Medium,Education,Germany,Onsite,Mid,3,PhD,1
109,Data Analyst,Medium,Education,Singapore,Hybrid,Mid,3,Master,0
110,Data Analyst,Enterprise,Retail,Canada,Hybrid,Entry,9,Bachelor,0
111,Data Analyst,Medium,Education,India,Onsite,Senior,11,Bachelor,1
112,AI Engineer,Enterprise,Retail,Canada,Onsite,Senior,7,Master,0
113,Business Analyst,MNC,Finance,Canada,Hybrid,Entry,7,Master,1
114,Data Scientist,Enterprise,E-commerce,India,Hybrid,Entry,11,PhD,1
115,Machine Learning Engineer,Startup,Technology,Germany,Remote,Entry,0,Master,1
116,Machine Learning Engineer,Enterprise,Healthcare,Australia,Remote,Entry,6,PhD,0
117,Data Scientist,Medium,E-commerce,Singapore,Hybrid,Entry,11,Master,0
118,Data Engineer,Startup,Finance,India,Remote,Entry,3,Master,0
119,Data Scientist,Enterprise,Technology,Australia,Onsite,Entry,12,PhD,1
120,Data Scientist,MNC,Technology,Canada,Onsite,Mid,8,Bachelor,1
121,AI Engineer,Enterprise,Retail,India,Remote,Mid,14,PhD,0
122,Data Scientist,Medium,Technology,Canada,Onsite,Entry,14,Master,1
123,AI Engineer,MNC,Technology,Singapore,Hybrid,Mid,14,Master,1
124,Data Engineer,Medium,Technology,Canada,Hybrid,Entry,5,Master,1
125,Data Scientist,Medium,E-commerce,USA,Onsite,Entry,6,PhD,1
126,Machine Learning Engineer,MNC,Retail,Australia,Hybrid,Senior,12,Master,0
127,AI Engineer,Startup,Education,Singapore,Remote,Mid,1,Bachelor,0
128,AI Engineer,Medium,Healthcare,Germany,Onsite,Entry,3,Master,1
129,Data Engineer,MNC,Finance,USA,Remote,Senior,14,PhD,1
130,Business Analyst,Startup,Education,Germany,Hybrid,Mid,12,Bachelor,1
131,AI Engineer,Startup,Education,USA,Onsite,Mid,5,Master,0
132,Data Analyst,Enterprise,Retail,India,Remote,Senior,9,Bachelor,1
133,Data Scientist,MNC,Retail,Canada,Onsite,Senior,0,Master,1
134,Machine Learning Engineer,Enterprise,Technology,USA,Hybrid,Entry,5,Bachelor,0
135,Data Engineer,MNC,Healthcare,Canada,Remote,Mid,5,PhD,0
136,AI Engineer,MNC,Technology,Canada,Onsite,Mid,4,PhD,1
137,AI Engineer,Enterprise,E-commerce,Germany,Onsite,Mid,10,PhD,1
138,Data Analyst,MNC,Technology,USA,Hybrid,Mid,11,PhD,1
139,AI Engineer,MNC,Retail,India,Remote,Entry,3,PhD,0
140,Data Scientist,Medium,E-commerce,UK,Hybrid,Entry,12,Master,0
141,Data Analyst,Startup,Retail,Germany,Hybrid,Mid,5,Master,0
142,Business Analyst,MNC,Technology,Germany,Onsite,Senior,11,Master,1
143,Data Analyst,Startup,Education,USA,Remote,Senior,0,PhD,0
144,Data Engineer,MNC,Technology,India,Hybrid,Senior,0,Master,1
145,Data Analyst,MNC,Retail,UK,Onsite,Entry,14,Bachelor,1
146,Machine Learning Engineer,Medium,Technology,Singapore,Onsite,Entry,12,Master,0
147,Data Analyst,Startup,Retail,Australia,Hybrid,Mid,13,Bachelor,0
148,Machine Learning Engineer,MNC,Finance,Australia,Hybrid,Mid,12,Bachelor,1
149,Business Analyst,Medium,Healthcare,USA,Hybrid,Entry,4,Bachelor,0
150,Business Analyst,MNC,Retail,Australia,Onsite,Senior,14,PhD,0
151,Data Analyst,Startup,Healthcare,India,Onsite,Entry,14,Master,0
152,Data Analyst,Medium,Finance,Canada,Onsite,Entry,2,Bachelor,1
153,Data Engineer,Medium,Finance,Australia,Onsite,Senior,0,PhD,1
154,Data Engineer,Medium,Education,Singapore,Remote,Mid,7,PhD,0
155,Machine Learning Engineer,Startup,Technology,UK,Remote,Senior,4,PhD,1
156,Data Analyst,Enterprise,Technology,India,Remote,Mid,14,Master,1
157,Business Analyst,Medium,Technology,Germany,Hybrid,Entry,8,Bachelor,1
158,Data Analyst,MNC,Technology,India,Remote,Senior,1,Master,1
159,AI Engineer,Medium,Healthcare,Australia,Hybrid,Mid,13,PhD,1
160,Data Scientist,Startup,Healthcare,Australia,Remote,Senior,14,Master,1
161,Data Analyst,MNC,Finance,Germany,Remote,Senior,8,Master,0
162,Business Analyst,Medium,E-commerce,Canada,Hybrid,Mid,2,Bachelor,0
163,Machine Learning Engineer,Startup,Technology,Canada,Onsite,Entry,12,PhD,0
164,Machine Learning Engineer,Medium,Retail,Australia,Onsite,Mid,3,Master,1
165,Data Scientist,Startup,Finance,Singapore,Onsite,Mid,13,Master,1
166,Machine Learning Engineer,Startup,E-commerce,Canada,Remote,Mid,10,PhD,0
167,AI Engineer,Startup,Education,Germany,Remote,Entry,6,Master,1
168,Machine Learning Engineer,Startup,Education,Germany,Onsite,Entry,11,PhD,1
169,AI Engineer,Enterprise,Technology,UK,Remote,Mid,6,Master,1
170,AI Engineer,Enterprise,Healthcare,India,Onsite,Senior,6,Bachelor,1
171,Machine Learning Engineer,MNC,Retail,Canada,Hybrid,Mid,7,PhD,0
172,Business Analyst,Enterprise,Technology,USA,Onsite,Entry,12,Bachelor,1
173,Data Analyst,Startup,Retail,USA,Hybrid,Entry,9,Master,1
174,AI Engineer,Enterprise,Healthcare,UK,Onsite,Entry,10,PhD,0
175,Data Scientist,MNC,Healthcare,Canada,Hybrid,Entry,13,PhD,1
176,AI Engineer,Startup,E-commerce,USA,Hybrid,Senior,3,PhD,1
177,Business Analyst,Enterprise,Finance,USA,Onsite,Entry,13,Bachelor,1
178,AI Engineer,MNC,Healthcare,Canada,Onsite,Entry,7,PhD,1
179,Data Scientist,Enterprise,E-commerce,Germany,Hybrid,Mid,6,Bachelor,1
180,AI Engineer,Enterprise,Technology,India,Remote,Mid,12,PhD,1
181,Data Scientist,MNC,E-commerce,Canada,Onsite,Senior,13,Bachelor,0
182,Business Analyst,Startup,E-commerce,UK,Onsite,Senior,5,Master,0
183,Data Analyst,Medium,Technology,Australia,Onsite,Mid,6,PhD,1
184,Data Analyst,MNC,Finance,Canada,Hybrid,Entry,12,PhD,0
185,Data Scientist,Enterprise,Technology,USA,Remote,Senior,12,PhD,0
186,Machine Learning Engineer,Startup,Finance,Canada,Remote,Senior,4,Master,1
187,Data Scientist,Startup,Technology,USA,Remote,Mid,8,Bachelor,0
188,Business Analyst,Medium,E-commerce,Australia,Onsite,Entry,13,Bachelor,0
189,AI Engineer,MNC,Finance,USA,Hybrid,Senior,2,Bachelor,0
190,Machine Learning Engineer,MNC,Education,UK,Hybrid,Senior,9,PhD,0
191,Data Engineer,Medium,Technology,India,Hybrid,Senior,13,Bachelor,0
192,Business Analyst,Enterprise,Finance,USA,Onsite,Entry,13,Bachelor,0
193,AI Engineer,MNC,Education,Singapore,Remote,Mid,5,Bachelor,1
194,Business Analyst,MNC,Finance,Canada,Hybrid,Entry,1,Master,1
195,AI Engineer,Medium,Technology,UK,Remote,Mid,9,Master,1
196,Business Analyst,Enterprise,Retail,Singapore,Remote,Entry,1,Master,1
197,Data Engineer,Medium,Technology,UK,Onsite,Entry,5,Bachelor,0
198,Data Engineer,MNC,Technology,India,Onsite,Entry,3,Bachelor,1
199,Data Engineer,MNC,Healthcare,Singapore,Onsite,Senior,6,PhD,0
200,Machine Learning Engineer,Medium,Finance,Canada,Hybrid,Senior,5,PhD,0
201,Data Engineer,Startup,Retail,Australia,Onsite,Entry,4,Bachelor,0
202,Data Scientist,MNC,E-commerce,USA,Onsite,Senior,10,Master,0
203,AI Engineer,Startup,Finance,Singapore,Hybrid,Entry,14,Bachelor,0
204,Data Engineer,Startup,E-commerce,Germany,Hybrid,Senior,12,Master,0
205,Business Analyst,Startup,Education,India,Onsite,Senior,3,Master,0
206,Business Analyst,Startup,E-commerce,Singapore,Onsite,Entry,7,PhD,0
207,Data Analyst,Enterprise,E-commerce,USA,Onsite,Senior,12,PhD,0
208,Machine Learning Engineer,Medium,Finance,India,Remote,Senior,5,PhD,0
209,Machine Learning Engineer,Startup,E-commerce,Singapore,Remote,Entry,12,Bachelor,1
210,Data Scientist,MNC,E-commerce,Singapore,Remote,Senior,2,Master,1
211,Data Scientist,MNC,Retail,Australia,Onsite,Mid,1,PhD,0
212,Data Scientist,Startup,Finance,Australia,Onsite,Entry,1,Master,0
213,Data Engineer,Startup,Finance,Singapore,Hybrid,Senior,6,PhD,1
214,Data Scientist,MNC,E-commerce,Germany,Onsite,Entry,13,Master,1
215,Machine Learning Engineer,MNC,Education,Singapore,Remote,Mid,12,PhD,1
216,Data Analyst,Medium,Technology,UK,Remote,Entry,5,Bachelor,0
217,Data Analyst,MNC,Education,Australia,Onsite,Senior,11,Master,1
218,Data Analyst,MNC,Healthcare,Canada,Onsite,Mid,4,Bachelor,0
219,Data Engineer,Medium,Healthcare,Germany,Remote,Mid,14,Bachelor,0
220,Machine Learning Engineer,Enterprise,Education,Canada,Onsite,Entry,10,Bachelor,0
221,Machine Learning Engineer,Medium,Technology,USA,Hybrid,Mid,6,Master,0
222,AI Engineer,Medium,Finance,India,Remote,Senior,12,Bachelor,1
223,Data Analyst,Startup,Healthcare,Australia,Onsite,Mid,12,Master,1
224,Business Analyst,Startup,Finance,India,Hybrid,Entry,14,Master,1
225,AI Engineer,MNC,Education,India,Remote,Mid,14,Bachelor,0
226,AI Engineer,Enterprise,Finance,Germany,Onsite,Senior,9,PhD,0
227,Data Engineer,Startup,Education,USA,Onsite,Senior,9,Master,0
228,Machine Learning Engineer,Startup,Finance,Germany,Onsite,Entry,10,Master,1
229,Machine Learning Engineer,Enterprise,Education,Singapore,Remote,Entry,7,PhD,1
230,Machine Learning Engineer,Enterprise,Technology,Germany,Remote,Mid,2,Bachelor,0
231,AI Engineer,Medium,Education,UK,Onsite,Mid,3,PhD,0
232,Data Engineer,Startup,Finance,India,Onsite,Senior,6,PhD,1
233,Data Analyst,MNC,Retail,UK,Onsite,Senior,4,Master,0
234,AI Engineer,Enterprise,Technology,UK,Hybrid,Senior,13,PhD,1
235,AI Engineer,Medium,E-commerce,USA,Hybrid,Senior,2,Bachelor,0
236,Data Engineer,MNC,Healthcare,USA,Hybrid,Entry,2,Master,1
237,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,Mid,8,PhD,1
238,Machine Learning Engineer,Medium,Technology,Germany,Hybrid,Mid,9,PhD,0
239,AI Engineer,Enterprise,Technology,Germany,Hybrid,Senior,4,Bachelor,1
240,Data Scientist,Medium,Finance,India,Remote,Entry,0,Bachelor,1
241,Business Analyst,Enterprise,Retail,Germany,Onsite,Mid,13,PhD,1
242,AI Engineer,Startup,Healthcare,USA,Hybrid,Entry,5,Master,0
243,Data Engineer,Medium,Technology,Canada,Hybrid,Entry,0,Master,1
244,Data Engineer,Enterprise,Retail,Singapore,Onsite,Entry,12,Master,1
245,Business Analyst,Enterprise,Retail,Singapore,Onsite,Entry,7,Bachelor,0
246,Data Analyst,MNC,Finance,Canada,Remote,Senior,14,PhD,1
247,Data Scientist,Medium,E-commerce,Canada,Onsite,Entry,5,Bachelor,0
248,Data Engineer,Medium,Finance,India,Hybrid,Senior,9,PhD,1
249,Data Engineer,Enterprise,E-commerce,Singapore,Onsite,Senior,13,Master,1
250,Data Analyst,Enterprise,Retail,India,Remote,Senior,12,Bachelor,0
251,Data Scientist,Medium,Retail,Germany,Remote,Senior,14,Master,0
252,Data Engineer,Medium,Technology,Australia,Remote,Mid,7,Bachelor,0
253,Machine Learning Engineer,MNC,Finance,India,Hybrid,Mid,7,PhD,1
254,Data Scientist,Startup,Technology,Germany,Hybrid,Mid,2,Bachelor,1
255,Data Engineer,MNC,Healthcare,Canada,Remote,Senior,12,Master,1
256,Data Analyst,Startup,Finance,Singapore,Hybrid,Entry,5,PhD,1
257,Business Analyst,Medium,Finance,Australia,Hybrid,Entry,2,PhD,0
258,Machine Learning Engineer,Startup,Retail,UK,Remote,Entry,0,Bachelor,1
259,Business Analyst,MNC,Healthcare,USA,Remote,Mid,3,PhD,1
260,Data Scientist,Startup,Education,Germany,Hybrid,Entry,10,Master,0
261,Data Scientist,Medium,Healthcare,Singapore,Hybrid,Senior,0,Master,1
262,Data Engineer,Startup,Finance,India,Remote,Entry,13,Master,1
263,Data Analyst,MNC,Healthcare,Germany,Onsite,Senior,2,Bachelor,0
264,Data Scientist,Medium,Retail,Singapore,Onsite,Mid,6,Master,0
265,Business Analyst,Enterprise,Education,India,Onsite,Senior,12,Master,0
266,AI Engineer,Startup,Healthcare,Singapore,Remote,Mid,7,Master,0
267,Data Analyst,Enterprise,Finance,UK,Remote,Mid,1,Bachelor,1
268,Data Scientist,Medium,Healthcare,India,Onsite,Mid,10,Bachelor,1
269,Machine Learning Engineer,Startup,Education,USA,Onsite,Mid,9,Bachelor,1
270,AI Engineer,MNC,Education,Canada,Onsite,Entry,4,Bachelor,1
271,AI Engineer,MNC,Healthcare,India,Onsite,Mid,1,PhD,0
272,AI Engineer,Startup,Retail,Germany,Onsite,Entry,13,PhD,1
273,AI Engineer,Enterprise,Education,USA,Hybrid,Senior,14,Master,1
274,Data Scientist,Enterprise,Retail,Canada,Remote,Entry,11,PhD,0
275,Data Analyst,MNC,Technology,Australia,Hybrid,Entry,3,Bachelor,0
276,Data Scientist,Startup,Finance,Canada,Hybrid,Entry,0,Bachelor,1
277,Data Engineer,Enterprise,Retail,Australia,Remote,Senior,14,PhD,1
278,Data Scientist,Medium,Education,Singapore,Onsite,Entry,4,Bachelor,0
279,Data Scientist,Startup,Technology,Australia,Remote,Entry,14,Master,0
280,AI Engineer,Startup,Education,UK,Remote,Senior,3,Bachelor,1
281,Data Engineer,Startup,Technology,Canada,Remote,Entry,10,Bachelor,0
282,AI Engineer,Enterprise,Education,Canada,Remote,Senior,11,Master,0
283,Machine Learning Engineer,Medium,Technology,Germany,Remote,Senior,8,Bachelor,1
284,Machine Learning Engineer,MNC,Education,Germany,Onsite,Senior,10,PhD,0
285,AI Engineer,MNC,Education,Singapore,Hybrid,Senior,14,PhD,1
286,Machine Learning Engineer,Enterprise,Technology,Singapore,Onsite,Senior,4,Master,0
287,Data Engineer,Medium,Finance,Singapore,Onsite,Mid,0,Master,0
288,Business Analyst,Medium,Retail,Singapore,Hybrid,Entry,5,PhD,1
289,AI Engineer,Startup,Healthcare,India,Hybrid,Mid,6,Bachelor,0
290,Data Analyst,MNC,E-commerce,India,Onsite,Entry,13,Master,1
291,Machine Learning Engineer,Medium,Healthcare,India,Remote,Mid,8,Bachelor,0
292,Data Engineer,Startup,Healthcare,USA,Onsite,Entry,8,PhD,1
293,Data Scientist,Startup,Technology,Australia,Onsite,Senior,13,Master,0
294,Machine Learning Engineer,Enterprise,Healthcare,Australia,Hybrid,Senior,2,PhD,0
295,Data Analyst,Enterprise,E-commerce,UK,Hybrid,Entry,6,Master,1
296,AI Engineer,Medium,Healthcare,Canada,Hybrid,Entry,3,Bachelor,0
297,Business Analyst,MNC,Finance,USA,Hybrid,Entry,8,PhD,1
298,Business Analyst,Startup,Technology,USA,Hybrid,Mid,0,Bachelor,1
299,Data Scientist,MNC,Healthcare,UK,Hybrid,Senior,8,Bachelor,1
300,Data Engineer,Startup,Finance,USA,Remote,Mid,11,Master,1
301,Machine Learning Engineer,Startup,Finance,UK,Hybrid,Entry,9,PhD,0
302,AI Engineer,Medium,Retail,Canada,Hybrid,Senior,4,Master,0
303,Data Analyst,Enterprise,Healthcare,Australia,Onsite,Entry,13,Master,1
304,Machine Learning Engineer,MNC,Retail,USA,Onsite,Mid,12,Bachelor,1
305,Data Scientist,Enterprise,Technology,India,Onsite,Senior,6,Bachelor,0
306,Data Analyst,Medium,Retail,UK,Remote,Entry,0,PhD,1
307,Data Analyst,Enterprise,Technology,UK,Onsite,Mid,6,Bachelor,0
308,Data Analyst,MNC,Technology,USA,Remote,Entry,10,Bachelor,1
309,Business Analyst,MNC,E-commerce,Germany,Remote,Entry,9,Master,1
310,Data Scientist,Enterprise,Retail,UK,Onsite,Senior,0,PhD,1
311,Data Scientist,Medium,Healthcare,India,Remote,Entry,11,Master,0
312,Data Analyst,Startup,Finance,Germany,Hybrid,Mid,2,Master,0
313,Machine Learning Engineer,MNC,Technology,Germany,Remote,Entry,9,Bachelor,0
314,Business Analyst,Enterprise,Finance,Canada,Onsite,Senior,9,Bachelor,1
315,Data Analyst,MNC,Healthcare,USA,Remote,Senior,12,PhD,1
316,Business Analyst,Medium,Technology,Australia,Remote,Senior,2,Master,1
317,Machine Learning Engineer,Startup,Education,Australia,Onsite,Mid,12,PhD,0
318,Data Scientist,Startup,E-commerce,UK,Onsite,Mid,6,Master,1
319,Data Engineer,Startup,Healthcare,India,Remote,Mid,10,Bachelor,0
320,Data Scientist,MNC,Healthcare,India,Remote,Entry,5,Master,0
321,Data Scientist,Enterprise,Education,Canada,Onsite,Entry,14,Master,0
322,Data Engineer,MNC,Finance,USA,Hybrid,Mid,10,PhD,1
323,Data Analyst,MNC,Healthcare,Singapore,Remote,Entry,10,PhD,1
324,Machine Learning Engineer,MNC,Retail,Canada,Hybrid,Mid,6,PhD,1
325,AI Engineer,Startup,Retail,Singapore,Remote,Entry,3,Bachelor,0
326,AI Engineer,MNC,Technology,UK,Onsite,Senior,11,Master,0
327,Data Scientist,Medium,Retail,Australia,Onsite,Senior,6,PhD,0
328,Data Scientist,MNC,E-commerce,Australia,Hybrid,Mid,14,PhD,1
329,Data Analyst,MNC,Finance,Germany,Hybrid,Senior,9,PhD,1
330,Machine Learning Engineer,Medium,Healthcare,Germany,Onsite,Entry,10,PhD,0
331,Business Analyst,Enterprise,E-commerce,Canada,Onsite,Senior,2,Bachelor,0
332,Data Scientist,Enterprise,Finance,Germany,Hybrid,Senior,1,Master,0
333,Machine Learning Engineer,Enterprise,Education,UK,Remote,Mid,6,Bachelor,1
334,AI Engineer,Startup,Finance,Germany,Remote,Senior,3,PhD,1
335,Data Analyst,Medium,Retail,UK,Hybrid,Entry,11,Master,1
336,AI Engineer,Enterprise,Technology,Germany,Onsite,Entry,10,PhD,1
337,Data Analyst,Medium,Technology,USA,Hybrid,Mid,10,Bachelor,1
338,Data Engineer,MNC,Retail,USA,Onsite,Senior,3,PhD,0
339,AI Engineer,Medium,Retail,Canada,Hybrid,Senior,6,PhD,0
340,AI Engineer,Enterprise,Education,USA,Hybrid,Senior,4,PhD,1
341,Data Scientist,MNC,Retail,UK,Hybrid,Senior,4,PhD,0
342,AI Engineer,Medium,Healthcare,UK,Hybrid,Entry,0,PhD,1
343,Machine Learning Engineer,MNC,Healthcare,USA,Hybrid,Mid,1,PhD,1
344,Data Scientist,Enterprise,Retail,USA,Onsite,Mid,7,Master,1
345,AI Engineer,Startup,Healthcare,Canada,Hybrid,Mid,5,Master,0
346,Machine Learning Engineer,Startup,Education,Singapore,Remote,Entry,11,PhD,0
347,Business Analyst,Medium,Education,UK,Onsite,Mid,4,Bachelor,1
348,Data Scientist,Enterprise,Finance,India,Hybrid,Entry,10,Master,1
349,Machine Learning Engineer,Enterprise,Finance,UK,Hybrid,Senior,6,Master,0
350,Data Engineer,MNC,Education,Germany,Onsite,Mid,10,Master,0
351,Data Analyst,MNC,Finance,USA,Remote,Mid,11,Master,1
352,Data Engineer,MNC,Finance,Singapore,Onsite,Senior,0,Master,1
